key	ru	de	es	fr	fi
Your voice.\nYour words.	Твой голос.\nТвои слова.	Deine Stimme.\nDeine Worte.	Tu voz.\nTus palabras.	Votre voix.\nVos mots.	Sinun äänesi.\nSinun sanasi.
Private by design.	Приватность по умолчанию.	Privat von Anfang an.	Privacidad desde el principio.	La confidentialité, par défaut.	Yksityinen alusta asti.
Make it yours.	Настрой под себя.	Mach es zu deinem.	A tu manera.	À votre façon.	Tee siitä omasi.
Ready for your\nnext thought.	Всё готово\nдля новых мыслей.	Bereit für deinen\nnächsten Gedanken.	Todo listo para\ntu próxima idea.	Prêt pour votre\nprochaine idée.	Valmiina seuraavaan\najatukseesi.
Speak naturally. Murmator turns a thought into a note — and refines it while you speak.	Говори как обычно. Murmator записывает мысли и уточняет текст, пока ты говоришь.	Sprich ganz natürlich. Murmator schreibt deine Gedanken auf und verbessert den Text, während du sprichst.	Habla con naturalidad. Murmator convierte tus ideas en notas y mejora el texto mientras hablas.	Parlez naturellement. Murmator transforme vos idées en notes et affine le texte pendant que vous parlez.	Puhu luonnollisesti. Murmator kirjoittaa ajatuksesi muistiin ja tarkentaa tekstiä puhuessasi.
Recognition and translation run on your iPhone. Audio isn't uploaded or kept in your notes.	Распознавание и перевод работают на iPhone. Аудио не отправляется на сервер и не сохраняется в заметках.	Erkennung und Übersetzung laufen auf deinem iPhone. Audio wird weder hochgeladen noch in Notizen gespeichert.	El reconocimiento y la traducción funcionan en tu iPhone. El audio no se sube ni se guarda en las notas.	La reconnaissance et la traduction s’exécutent sur votre iPhone. L’audio n’est ni envoyé ni conservé dans les notes.	Tunnistus ja kääntäminen toimivat iPhonessasi. Ääntä ei lähetetä palvelimelle eikä tallenneta muistiinpanoihin.
Choose your spoken language. Models download once and stay on your device.	Выбери язык речи. Модели скачаются один раз и останутся на устройстве.	Wähle deine Sprache. Die Modelle werden einmal geladen und bleiben auf deinem Gerät.	Elige el idioma que hablas. Los modelos se descargan una vez y quedan en tu dispositivo.	Choisissez votre langue. Les modèles sont téléchargés une fois et restent sur votre appareil.	Valitse puhekieli. Mallit ladataan kerran ja säilytetään laitteellasi.
Start from Murmator, a Lock Screen widget, or an Action Button shortcut.	Начинай запись в Murmator, через виджет экрана блокировки или команду для кнопки действия.	Starte in Murmator, über ein Sperrbildschirm-Widget oder einen Kurzbefehl für die Aktionstaste.	Empieza desde Murmator, un widget de la pantalla bloqueada o un atajo del botón de acción.	Commencez dans Murmator, avec un widget d’écran verrouillé ou un raccourci du bouton Action.	Aloita Murmatorista, lukitun näytön widgetistä tai toimintopainikkeen pikakomennolla.
Back	Назад	Zurück	Atrás	Retour	Takaisin
Continue	Продолжить	Weiter	Continuar	Continuer	Jatka
Start using Murmator	Начать пользоваться Murmator	Murmator starten	Empezar a usar Murmator	Commencer avec Murmator	Aloita Murmatorin käyttö
I speak	Я говорю на	Ich spreche	Hablo	Je parle	Puhun
Download & prepare models	Скачать и подготовить модели	Modelle laden und vorbereiten	Descargar y preparar modelos	Télécharger et préparer les modèles	Lataa ja valmistele mallit
Downloading and loading models…	Скачивание и загрузка моделей…	Modelle werden heruntergeladen und geladen…	Descargando y cargando modelos…	Téléchargement et chargement des modèles…	Ladataan malleja laitteelle ja muistiin…
Warming up models…	Прогрев моделей…	Modelle werden aufgewärmt…	Calentando los modelos…	Préchauffage des modèles…	Lämmitetään malleja…
Downloaded and warmed up	Скачаны и прогреты	Geladen und aufgewärmt	Descargados y calentados	Téléchargés et préchauffés	Ladattu ja lämmitetty
Keep Murmator open. Models download once and warm up for this session.	Не закрывай Murmator. Модели скачаются один раз и прогреются для текущего сеанса.	Lass Murmator geöffnet. Die Modelle werden einmal heruntergeladen und für diese Sitzung aufgewärmt.	Mantén Murmator abierto. Los modelos se descargan una vez y se calientan para esta sesión.	Gardez Murmator ouvert. Les modèles sont téléchargés une fois et préchauffés pour cette session.	Pidä Murmator avoinna. Mallit ladataan kerran ja lämmitetään tätä istuntoa varten.
